Date,Close/Last,Volume,Open,High,Low
02/11/2022,$53.9,20132500,$54.87,$55.09,$53.77
02/10/2022,$54.87,19730640,$55.24,$56.025,$54.74
02/09/2022,$56.29,19136720,$55.82,$56.38,$55.4826
02/08/2022,$55.34,15219940,$55.06,$55.49,$54.71
02/07/2022,$55.17,14450180,$55.33,$55.53,$54.695
02/04/2022,$55.15,19675870,$54.894,$55.62,$54.39
02/03/2022,$55.2,19260470,$55.87,$56.15,$55.06
02/02/2022,$56.17,23316720,$55.225,$56.315,$55.17
02/01/2022,$55.37,22438470,$55.45,$55.5,$54.735
01/31/2022,$55.67,29925300,$55.43,$55.86,$54.87
01/28/2022,$55.61,30976580,$54.5,$55.66,$53.445
01/27/2022,$54.62,25967390,$55.51,$56.53,$54.4
01/26/2022,$55.33,28632690,$56.11,$56.45,$54.855
01/25/2022,$56.11,25156430,$56.09,$56.6851,$55.07
01/24/2022,$56.9,34191540,$56.16,$57,$54.87
01/21/2022,$56.68,25913970,$58.07,$58.34,$56.61
01/20/2022,$58.08,17726480,$58.99,$59.34,$58.02
01/19/2022,$58.9,24333870,$57.995,$59.49,$57.78
01/18/2022,$59.73,26550560,$59.98,$60.22,$59.49
01/14/2022,$61.36,18832050,$61.472,$61.5,$60.94
01/13/2022,$61.5,14871640,$62.08,$62.15,$61.21
01/12/2022,$62.12,13405380,$62.4,$62.8175,$61.9201
01/11/2022,$62.37,22804160,$61.595,$62.43,$61.44
01/10/2022,$61.82,24715340,$60.865,$61.895,$60.52
01/07/2022,$61.13,20152410,$60.87,$61.5,$60.67
01/06/2022,$60.92,19616650,$60,$61.13,$59.91
01/05/2022,$60.28,30317890,$61.19,$61.64,$60.25
01/04/2022,$61.25,29682500,$62.44,$62.81,$61.11
01/03/2022,$63.16,17189200,$62.9,$63.35,$62.5
12/31/2021,$63.37,10359100,$63.545,$63.819,$63.32
12/30/2021,$63.62,9076698,$64.04,$64.14,$63.47
12/29/2021,$63.96,15069940,$63.65,$64.285,$63.55
12/28/2021,$63.53,12871660,$63.42,$63.84,$63.23
12/27/2021,$63.42,14780510,$62.41,$63.47,$62.28
12/23/2021,$62.28,17771400,$61.79,$62.895,$61.79
12/22/2021,$61.53,17095450,$60.97,$61.595,$60.615
12/21/2021,$61.03,20761100,$60.44,$61.2377,$60
12/20/2021,$60.36,21342150,$59.67,$60.41,$59.3
12/17/2021,$60.46,62333270,$60.27,$60.795,$59.785
12/16/2021,$60.31,24599320,$60.05,$60.76,$59.87
12/15/2021,$59.93,27953910,$57.921,$60.03,$57.9
12/14/2021,$57.77,19114190,$58.34,$58.525,$57.37
12/13/2021,$58.61,18496310,$59.1,$59.51,$58.54
12/10/2021,$59.25,19901480,$57.91,$59.34,$57.908
12/09/2021,$57.55,16480250,$57.195,$57.8301,$56.93
12/08/2021,$57.02,23631260,$58.075,$58.13,$56.63
12/07/2021,$58.08,24254770,$57.1,$58.215,$57.01
12/06/2021,$56.96,23172840,$56.7,$57.17,$56.465
12/03/2021,$56.23,26235370,$56.297,$56.82,$55.665
12/02/2021,$56.15,22384720,$55.15,$56.6099,$55.08
12/01/2021,$55.03,24126180,$55.53,$56.38,$54.93
11/30/2021,$54.84,45141290,$55.58,$55.6,$54.15
11/29/2021,$55.76,25724510,$55.14,$56.19,$54.83
11/26/2021,$54.67,16730280,$54.46,$55.19,$54.46
11/24/2021,$55.54,19328710,$55.15,$55.7468,$55.15
11/23/2021,$55.3,25653550,$54.61,$55.58,$54.47
11/22/2021,$54.6,39952480,$53.35,$55.53,$53.3
11/19/2021,$53.25,30030780,$53.545,$53.69,$52.78
11/18/2021,$53.63,70843010,$52.73,$53.93,$51.08
11/17/2021,$56.76,31496260,$56.61,$57.14,$56.27
11/16/2021,$57,21136860,$57.24,$58.08,$56.925
11/15/2021,$57.27,19041760,$56.929,$57.7,$56.83
11/12/2021,$56.82,16663560,$56.97,$57.15,$56.31
11/11/2021,$56.76,17440740,$57.57,$57.77,$56.69
11/10/2021,$57.77,17868620,$57.9,$58.625,$57.685
11/09/2021,$57.44,14459820,$57.07,$57.6299,$56.9
11/08/2021,$57,15045280,$57.1,$57.52,$56.59
11/05/2021,$57.07,15637920,$57.376,$57.8,$56.93
11/04/2021,$57.12,18070420,$57.6,$57.69,$56.555
11/03/2021,$57.65,13219380,$57.58,$57.93,$57.12
11/02/2021,$57.62,22097850,$56.37,$57.87,$56.28
11/01/2021,$56.1,14341380,$55.869,$56.25,$55.5
10/29/2021,$55.97,13550600,$56.315,$56.58,$55.86
10/28/2021,$56.24,11209170,$56.23,$56.685,$55.89
10/27/2021,$56.18,16278990,$56.13,$56.72,$55.925
10/26/2021,$55.81,15249970,$55.56,$56.3494,$55.4
10/25/2021,$55.14,10218870,$55.11,$55.415,$54.81
10/22/2021,$55.11,15026630,$55.55,$55.86,$54.94
10/21/2021,$55.69,12619890,$56.04,$56.12,$55.525
10/20/2021,$56.2,11613610,$55.8,$56.23,$55.8
10/19/2021,$55.74,13258370,$55.29,$55.78,$55.03
10/18/2021,$55.19,10989550,$55.04,$55.49,$54.57
10/15/2021,$55.25,15202190,$55.8876,$55.8876,$54.96
10/14/2021,$55.65,14456310,$55.09,$55.85,$54.98
10/13/2021,$54.62,13739170,$54.32,$54.75,$54.08
10/12/2021,$54.28,14241870,$54.99,$55.06,$54.07
10/11/2021,$54.93,8117578,$55.25,$55.3801,$54.9
10/08/2021,$55.08,9255682,$55.2,$55.3,$54.75
10/07/2021,$55.02,14725500,$54.493,$55.41,$54.35
10/06/2021,$53.94,26339160,$54.345,$54.38,$52.98
10/05/2021,$54.69,14135040,$54.13,$55.025,$54.13
10/04/2021,$54.23,17084070,$54.5,$54.68,$53.95
10/01/2021,$55.14,18338040,$54.6,$55.41,$54.04
09/30/2021,$54.43,18541410,$55.8,$55.9,$54.41
09/29/2021,$55.48,14051720,$55.615,$55.98,$55.34
09/28/2021,$55.52,17803200,$55.784,$55.985,$55.41
09/27/2021,$56.22,13859540,$56.46,$56.67,$56.05
09/24/2021,$56.73,13156450,$56.447,$56.81,$56.22
09/23/2021,$56.69,16262480,$55.699,$56.895,$55.6
09/22/2021,$55.52,17940640,$55.762,$56.13,$55.37
09/21/2021,$55.26,18700630,$55.96,$56.37,$55.23
09/20/2021,$55.89,21896980,$56.38,$56.4,$55.29
09/17/2021,$56.85,40262680,$57.39,$57.45,$56.47
09/16/2021,$57.33,24029590,$58.309,$58.82,$57.125
09/15/2021,$57.56,37524580,$57.78,$59.6,$57.06
09/14/2021,$57.87,12810340,$58.24,$58.47,$57.66
09/13/2021,$58.1,13553240,$58.16,$58.53,$57.725
09/10/2021,$57.89,13622080,$58.75,$58.95,$57.82
09/09/2021,$58.6,14958800,$58.45,$58.94,$58.25
09/08/2021,$58.68,13124540,$58.55,$58.93,$58.49
09/07/2021,$58.88,15503810,$59.235,$59.365,$58.75
09/03/2021,$59.42,9735954,$59.33,$59.6592,$59.28
09/02/2021,$59.53,12857570,$59.35,$59.72,$59.06
09/01/2021,$59.04,11629950,$59.02,$59.14,$58.66
08/31/2021,$59.02,19873920,$59.11,$59.175,$58.58
08/30/2021,$59.13,11798610,$58.98,$59.22,$58.8
08/27/2021,$59.02,14795230,$59.265,$59.35,$58.86
08/26/2021,$59.2,13729430,$59.42,$59.63,$58.985
08/25/2021,$59.35,18069600,$59.54,$60.27,$59.17
08/24/2021,$59.32,17658270,$58.49,$59.43,$58.43
08/23/2021,$58.54,16225370,$57.85,$58.7,$57.7435
08/20/2021,$58.22,21876450,$57.254,$58.335,$56.85
08/19/2021,$57.27,39881550,$54.76,$57.49,$54.59
08/18/2021,$55.15,17111660,$55.79,$56.135,$55.025
08/17/2021,$56.01,11987540,$55.87,$56.02,$55.625
08/16/2021,$56.28,14408720,$56.3,$56.43,$55.93
08/13/2021,$56.47,10841710,$56.39,$56.62,$56.26
08/12/2021,$56.39,11214980,$55.85,$56.45,$55.66
08/11/2021,$55.86,12604660,$55.89,$56.01,$55.6
08/10/2021,$55.61,10441900,$55.5,$55.67,$55.25
08/09/2021,$55.47,8707363,$55.82,$56.07,$55.4
08/06/2021,$55.59,18386120,$55.47,$55.95,$55.15
08/05/2021,$55.76,10785170,$55.52,$55.98,$55.5
08/04/2021,$55.69,11662400,$56.37,$56.37,$55.47
08/03/2021,$56.25,17357430,$55.535,$56.415,$55.27
08/02/2021,$55.45,12468820,$55.597,$55.94,$55.26
07/30/2021,$55.37,13438790,$55.08,$55.49,$55.01
07/29/2021,$55.07,10680230,$55,$55.35,$54.9
07/28/2021,$54.77,18835700,$55.46,$55.52,$54.41
07/27/2021,$55.28,14738680,$55.38,$55.41,$54.79
07/26/2021,$55.47,10097440,$55.1315,$55.65,$55.1315
07/23/2021,$55.23,13042470,$54.89,$55.34,$54.51
07/22/2021,$54.54,15729800,$53.905,$54.55,$53.78
07/21/2021,$53.88,14068610,$53.82,$53.9,$53.42
07/20/2021,$53.58,17250160,$53.28,$53.93,$53.19
07/19/2021,$53.06,19925280,$53.67,$53.695,$52.73
07/16/2021,$53.7,14144920,$53.88,$54.4092,$53.65
07/15/2021,$53.65,14952370,$53.84,$53.87,$53.24
07/14/2021,$54.09,17113680,$53.5,$54.2,$53.34
07/13/2021,$53.32,9927531,$53.34,$53.58,$53.2
07/12/2021,$53.23,14000840,$54.04,$54.04,$53.13
07/09/2021,$53.74,14673400,$53.36,$53.93,$53.29
07/08/2021,$53.26,15691810,$53.16,$53.72,$52.91
07/07/2021,$53.26,14411560,$53.07,$53.3,$52.67
07/06/2021,$52.98,19394470,$53.216,$53.36,$52.34
07/02/2021,$53.54,15068260,$53.19,$53.62,$52.835
07/01/2021,$53.44,15074800,$53.05,$53.6,$53
06/30/2021,$53,15826640,$52.95,$53.07,$52.62
06/29/2021,$52.91,10926110,$52.89,$53.1877,$52.77
06/28/2021,$52.96,14008660,$53.16,$53.29,$52.92
06/25/2021,$53.06,16682660,$52.77,$53.195,$52.6466
06/24/2021,$52.78,13974290,$52.94,$53.05,$52.61
06/23/2021,$52.76,14749810,$53.27,$53.29,$52.59
06/22/2021,$53.26,16451240,$53.3,$53.36,$52.81
06/21/2021,$53.18,17682230,$52.365,$53.41,$52.29
06/18/2021,$52.07,35758260,$52.805,$52.84,$51.88
06/17/2021,$53.13,18288400,$53.41,$53.545,$53.01
06/16/2021,$53.47,15477900,$53.85,$53.92,$53.13
06/15/2021,$53.79,12542570,$54.23,$54.32,$53.73
06/14/2021,$54.17,15131360,$54.39,$54.5278,$53.525
06/11/2021,$54.77,17134050,$55.19,$55.35,$54.54
06/10/2021,$55.03,22183540,$54.43,$55.08,$54.27
06/09/2021,$54.02,14861230,$54.18,$54.42,$53.935
06/08/2021,$54.13,15329690,$53.97,$54.39,$53.89
06/07/2021,$53.92,14899750,$54.32,$54.44,$53.79
06/04/2021,$54.07,11676700,$53.435,$54.17,$53.435
06/03/2021,$53.33,17593100,$52.8,$53.555,$52.62
06/02/2021,$52.96,14529320,$52.65,$52.99,$52.4
06/01/2021,$52.62,15741980,$52.96,$53.315,$52.43
05/28/2021,$52.9,14864350,$53.18,$53.22,$52.835
05/27/2021,$52.92,56216070,$52.93,$53.35,$52.58
05/26/2021,$52.91,18671190,$53.35,$53.61,$52.82
05/25/2021,$53.31,20657180,$53.37,$53.58,$53.14
05/24/2021,$53.39,21128860,$52.96,$53.765,$52.79
05/21/2021,$52.43,24468370,$52.765,$52.93,$52.24
05/20/2021,$52.85,48830760,$50.41,$52.97,$50.1
05/19/2021,$52.47,29187940,$51.88,$52.66,$51.86
05/18/2021,$52.93,20177200,$52.8,$53.34,$52.74
05/17/2021,$52.94,15728680,$52.76,$53.15,$52.68
05/14/2021,$52.9,14789380,$52.93,$53.215,$52.6
05/13/2021,$52.49,15868660,$52.11,$52.805,$51.88
05/12/2021,$51.6,22123310,$52.18,$52.43,$51.4661
05/11/2021,$52.83,20220910,$53.1,$53.11,$52.11
05/10/2021,$53.16,23845560,$53.97,$54.14,$53.16
05/07/2021,$53.43,24146010,$52.48,$53.675,$52.22
05/06/2021,$52.44,27106820,$51.07,$52.71,$50.95
05/05/2021,$51.13,16205350,$50.99,$51.25,$50.68
05/04/2021,$50.71,18164790,$51.11,$51.23,$50.295
05/03/2021,$51.17,13465910,$51.21,$51.4,$50.81
04/30/2021,$50.91,19930550,$51.22,$51.23,$50.41
04/29/2021,$51.46,13916580,$51.18,$51.6,$50.98
04/28/2021,$51.11,14984040,$51.56,$51.77,$50.92
04/27/2021,$51.37,13600990,$51.58,$51.67,$51.35
04/26/2021,$51.64,13778190,$51.65,$51.7685,$51.5
